"","SP600.Open","SP600.High","SP600.Low","SP600.Close","SP600.Volume","SP600.Adjusted"
"1163",700.5,707,699.690002,706.900024,59100,706.900024
"1164",705.359985,712.25,702.929993,712.25,58300,712.25
"1165",712.22998,712.22998,707.440002,708.02002,58100,708.02002
"1166",706.799988,706.799988,698.169983,701.359985,61400,701.359985
"1167",699.690002,699.690002,686.299988,686.299988,69200,686.299988
"1168",684.609985,685.539978,674.960022,676.909973,111100,676.909973
"1169",671.190002,671.190002,648,651.039978,119700,651.039978
"1170",655.25,662.669983,644.200012,644.280029,87000,644.280029
"1171",647.359985,659.789978,644.440002,659.309998,87500,659.309998
"1172",660.679993,673.090027,659.090027,670.52002,92900,670.52002
"1173",669.630005,675.340027,668,674.840027,79500,674.840027
"1174",673.950012,677.109985,671.960022,674.859985,88600,674.859985
"1175",672.650024,672.650024,654.289978,656.27002,87200,656.27002
"1176",658.72998,665.340027,656.659973,665.340027,74600,665.340027
"1177",665.940002,672.820007,665.940002,666.77002,70800,666.77002
"1178",664.679993,664.72998,658.099976,660.679993,53300,660.679993
"1179",664.73999,675.059998,664.73999,674.340027,68000,674.340027
"1180",675.039978,679.049988,667.27002,667.679993,69500,667.679993
"1181",667.340027,672.580017,666.539978,668.409973,61700,668.409973
"1182",667.530029,670.419983,662.960022,670.369995,61100,670.369995
"1183",670.72998,671.22998,667.280029,667.969971,54800,667.969971
"1184",668.429993,676.51001,668.429993,675.5,54800,675.5
"1185",675.710022,682.22998,675.710022,681.849976,62400,681.849976
"1186",681.659973,691.090027,680.77002,682.97998,70200,682.97998
"1187",680.409973,680.409973,670.099976,671.340027,230900,671.340027
"1188",673.719971,681.25,672.669983,674.030029,61000,674.030029
"1189",671.409973,671.409973,662.169983,664.559998,65500,664.559998
"1190",665.530029,668.01001,661.48999,663.719971,60600,663.719971
"1191",661.929993,663.77002,655.919983,663.22998,85800,663.22998
"1192",665.299988,669.219971,660.289978,662.869995,88200,662.869995
"1193",661.789978,661.789978,643.969971,644.880005,83800,644.880005
"1194",645,647.710022,639.159973,641.76001,80100,641.76001
"1195",643.919983,650.700012,643.919983,650.190002,99200,650.190002
"1196",650.150024,651.690002,640.280029,647.030029,85700,647.030029
"1197",646.039978,654.669983,636.869995,654.669983,77900,654.669983
"1198",656.5,672.73999,656.5,672.359985,77600,672.359985
"1199",672.049988,674.409973,666.150024,668.900024,73400,668.900024
"1200",670.090027,679.690002,670.090027,679.690002,104900,679.690002
"1201",679.059998,687.710022,677.97998,687.570007,72100,687.570007
"1202",688.01001,690.419983,687.140015,687.76001,78900,687.76001
"1203",688.27002,689.340027,685.960022,689.039978,57100,689.039978
"1204",687.590027,691.340027,680.309998,680.320007,63800,680.320007
"1205",680.210022,683.210022,672.22998,672.799988,73400,672.799988
"1206",673.469971,685.700012,670.48999,685.679993,67600,685.679993
"1207",686.280029,687.099976,680.47998,685.919983,66200,685.919983
"1208",684.840027,688.719971,683.049988,687.280029,57800,687.280029
"1209",687.26001,691.150024,685.75,688.530029,65700,688.530029
"1210",689.369995,690.200012,677.909973,678.030029,65400,678.030029
"1211",679.349976,686.72998,679.349976,684,80800,684
"1212",685.780029,690.75,684.390015,690.75,75700,690.75
"1213",690.320007,690.320007,687.080017,688.099976,71000,688.099976
"1214",686.869995,686.869995,677.76001,679.830017,83800,679.830017
"1215",680.929993,698.570007,680.929993,698.549988,93600,698.549988
"1216",697.059998,697.359985,690.210022,691.700012,81200,691.700012
"1217",691.599976,693.109985,688.109985,689.359985,95000,689.359985
"1218",690.380005,703.390015,690.380005,702.01001,78000,702.01001
"1219",701.460022,708.090027,700.590027,705.390015,88100,705.390015
"1220",706.210022,707.47998,701.169983,703.210022,85100,703.210022
"1221",703.590027,705.809998,698.969971,705.01001,74600,705.01001
"1222",703.880005,708.539978,698.969971,708.390015,87500,708.390015
"1223",707.869995,707.869995,696.070007,697.859985,77400,697.859985
"1224",696.849976,699.940002,694.72998,699.559998,77400,699.559998
"1225",700.299988,700.710022,693.97998,693.98999,59200,693.98999
"1226",691.659973,691.659973,680.710022,681.01001,62000,681.01001
"1227",679.380005,682.969971,675.130005,675.849976,68600,675.849976
"1228",675.27002,683.929993,674.669983,683.880005,64700,683.880005
"1229",684.179993,689.98999,681.840027,682.460022,75000,682.460022
"1230",683.599976,692.969971,682.710022,692.619995,69200,692.619995
"1231",692.309998,692.72998,688.719971,690.219971,59200,690.219971
"1232",692.039978,697.789978,692.039978,695.890015,73200,695.890015
"1233",695.390015,700.659973,695.190002,698.359985,61600,698.359985
"1234",697.559998,703.469971,693.590027,703.049988,63000,703.049988
"1235",702.950012,707.570007,702.640015,707.25,50000,707.25
"1236",706.960022,710.469971,706.01001,709.5,28700,709.5
"1237",710.419983,711.359985,706.369995,706.75,77100,706.75
"1238",707.900024,711.539978,706.289978,711.359985,66900,711.359985
"1239",710.859985,712,704,704.539978,62300,704.539978
"1240",705.820007,707.72998,691.849976,693.25,67700,693.25
"1241",693.26001,701.130005,693.059998,700.330017,67500,700.330017
"1242",699.380005,699.380005,688.51001,690.099976,66900,690.099976
"1243",687.549988,688.830017,681.409973,685.690002,62800,685.690002
"1244",684.830017,689.47998,676.280029,677.650024,65500,677.650024
"1245",677.460022,682.5,676.349976,679.150024,69100,679.150024
"1246",675.609985,675.609985,664.159973,666.080017,81800,666.080017
"1247",665.969971,667.580017,658.580017,662.210022,83500,662.210022
"1248",664.169983,672.47998,664.169983,671.409973,67200,671.409973
"1249",673.580017,681.700012,672.419983,680.950012,68700,680.950012
"1250",681.599976,682.26001,672.72998,672.72998,69800,672.72998
"1251",671.549988,671.549988,662.369995,662.679993,341900,662.679993
"1252",665.030029,668.830017,663,667.330017,69400,667.330017
"1253",668.299988,674.400024,664.47998,673.849976,60500,673.849976
"1254",675.809998,681.960022,675.809998,681.890015,60200,681.890015
"1255",681.679993,686.619995,681.25,683.25,31900,683.25
"1256",681.530029,681.530029,675.109985,680.380005,57000,680.380005
"1257",682.099976,687.73999,681.580017,687.440002,49200,687.440002
"1258",686.869995,686.869995,680.440002,680.780029,49200,680.780029
"1259",679.700012,679.700012,671.47998,671.73999,80200,671.73999
"1260",667.809998,667.809998,651.049988,655.780029,93300,655.780029
"1261",656.77002,658.5,654.159973,657.77002,66300,657.77002
"1262",653.22998,654.130005,647.309998,650.210022,78600,650.210022
"1263",645.780029,645.780029,633.419983,633.919983,90700,633.919983
"1264",635.460022,638.539978,622.719971,623.419983,115800,623.419983
"1265",625.47998,627.210022,618.130005,623.099976,85700,623.099976
"1266",625.690002,630.75,615.659973,624.700012,95700,624.700012
"1267",625.890015,628.119995,604.780029,607.340027,91800,607.340027
"1268",608.859985,621.190002,603.210022,616.340027,92400,616.340027
"1269",612.26001,612.26001,594.359985,608.630005,124800,608.630005
"1270",611.98999,614.039978,595.969971,601.590027,94800,601.590027
"1271",598.130005,609.219971,581.630005,603.669983,108800,603.669983
"1272",604.109985,610.950012,599.390015,602.200012,94700,602.200012
"1273",606.200012,615.52002,606.200012,614.969971,92300,614.969971
"1274",613.359985,613.359985,602.26001,603.090027,74500,603.090027
"1275",604.890015,618.210022,604.890015,617.76001,89700,617.76001
"1276",616.659973,619.669983,606.469971,608.859985,83900,608.859985
"1277",610.690002,615.830017,609.049988,610.51001,78200,610.51001
"1278",611.330017,629.950012,611.330017,629.950012,145300,629.950012
"1279",627.159973,630.700012,621.51001,627.840027,81600,627.840027
"1280",624.690002,624.690002,613.219971,615.169983,78500,615.169983
"1281",618.369995,620.47998,605.280029,616.690002,86400,616.690002
"1282",616.559998,625.049988,615.630005,619.780029,88200,619.780029
"1283",618.919983,618.919983,605.159973,605.159973,104500,605.159973
"1284",601.549988,601.719971,591.469971,599.73999,97700,599.73999
"1285",595.969971,602.349976,592.919983,597.030029,80300,597.030029
"1286",598.820007,607.429993,595.049988,595.27002,77500,595.27002
"1287",591,591,581.780029,588.26001,86400,588.26001
"1288",590.880005,599.030029,590.880005,598.52002,100600,598.52002
"1289",602.099976,612.26001,602.099976,611.77002,88600,611.77002
