,date,price,volume,inflow,outflow,inhouseExVol,betweenExVol,fees,minerRev
76,2010-10-01,0.061970000000000004,58282.82812108,,,,,0.001302325581395,7700.0
77,2010-10-02,0.0614,363886.84,,,,,1.9371895261000002e-05,5000.0
78,2010-10-03,0.061110000000000005,75755.03,,,,,3.0455882352000003e-05,6100.0
79,2010-10-04,0.061290000000000004,556012.89,,,,,3.8976370000000005e-09,7650.0
80,2010-10-05,0.0614,193721.7800002,,,,,0.0,6300.0
81,2010-10-06,0.062976666666666,121501.46,,,,,4.6186440000000005e-09,8550.0
82,2010-10-07,0.067,127369.09,,,,,0.0,8000.0
83,2010-10-08,0.084925,153154.63,,,,,0.0,7700.0
84,2010-10-09,0.09380000000000001,185663.91,,,,,0.0,7900.0
85,2010-10-10,0.0965,118448.13,,,,,0.0,8900.0
86,2010-10-11,0.095,54858.71,,,,,5.956284e-09,7950.0
87,2010-10-12,0.0949,78073.95,,,,,0.0,7750.0
88,2010-10-13,0.105,114251.44,,,,,0.0018617021276590001,8800.0
89,2010-10-14,0.10200000000000001,177909.55,,,,,0.0,10250.0
90,2010-10-15,0.105,146466.49,,,,,0.0,8850.0
91,2010-10-16,0.101,198190.89000109,,,,,0.0,12900.0
92,2010-10-17,0.10200000000000001,108491.74,,,,,0.0,13500.0
93,2010-10-18,0.1024,217546.15,,,,,6.0606060606000005e-05,12450.0
94,2010-10-19,0.09715000000000001,265633.5,,,,,0.0,12800.0
95,2010-10-20,0.099,199661.77,,,,,0.0,13200.0
96,2010-10-21,0.107,186303.98,,,,,2.1218989071e-05,9300.0
97,2010-10-22,0.106,129428.13,,,,,0.0,7700.0
98,2010-10-23,0.10499499999999999,43145.28,,,,,0.000146198830409,8750.0
99,2010-10-24,0.11501000000000001,104794.39,,,,,0.0,10250.0
100,2010-10-25,0.132,149994.65,,,,,0.0,10150.0
101,2010-10-26,0.15030000000000002,181342.71,,,,,0.0,12050.0
102,2010-10-27,0.1877,201860.17,,,,,0.0,10650.0
103,2010-10-28,0.1731,187623.54,,,,,0.0,10950.0
104,2010-10-29,0.19,86075.29,,,,,0.0,11150.0
105,2010-10-30,0.19890000000000002,58491.04,,,,,0.0,12600.0
106,2010-10-31,0.1925,64906.13,,,,,0.0,8950.0
107,2010-11-01,0.1955,42257.25,,,,,0.0,8850.0
108,2010-11-02,0.1938,62526.09,,,,,0.0,8800.0
109,2010-11-03,0.19310000000000002,56979.98,,,,,0.0,9500.0
110,2010-11-04,0.23,156797.78108788,,,,,0.0,10050.0
111,2010-11-05,0.2639,42009.83,,,,,0.0,10950.0
112,2010-11-06,0.38,126535.36,,,,,0.0,10900.0
113,2010-11-07,0.34,89753.73,,,,,0.0,12050.0
114,2010-11-08,0.243,499441.79,,,,,0.003458333333333,13750.0
115,2010-11-09,0.21,51767.22,,,,,0.0,10850.0
116,2010-11-10,0.23620000000000002,58545.56,,,,,0.0,10150.0
117,2010-11-11,0.22310000000000002,41618.51,,,,,0.0,10950.0
118,2010-11-12,0.2682,33689.8,,,,,0.0,8450.0
119,2010-11-13,0.276,38105.96,,,,,0.0,11150.0
120,2010-11-14,0.27904,35414.88,,,,,0.0,12800.0
121,2010-11-15,0.2682,261987.23,,,,,0.00010276172125800001,10000.0
122,2010-11-16,0.225,378031.26,,,,,0.0,9850.0
123,2010-11-17,0.247366666666666,62082.52,,,,,0.0,12350.0
124,2010-11-18,0.26780000000000004,59498.46108788,,,,,0.0,12850.0
125,2010-11-19,0.2752,54398.74,,,,,8.437038599e-06,7500.0
126,2010-11-20,0.283955,159099.26,,,,,0.00010400416016600001,5800.0
127,2010-11-21,0.27675,126034.96,,,,,0.00010500807754400001,7000.0
128,2010-11-22,0.2843,31402.79,,,,,0.0031111111111110003,8150.0
129,2010-11-23,0.28295000000000003,42631.65,,,,,0.002388059701492,7000.0
130,2010-11-24,0.28299,38608.89,,,,,5.0545357807e-05,8850.0
131,2010-11-25,0.28,50602.19,,,,,0.0,9050.0
132,2010-11-26,0.2844,89105.83,,,,,0.00033035714285700003,9700.0
133,2010-11-27,0.28300000000000003,24279.84,,,,,7.547169811300001e-05,9000.0
134,2010-11-28,0.271081967213114,24283.6,,,,,0.0,8600.0
135,2010-11-29,0.23305,34689.85,,,,,0.00012244897959100002,10450.0
136,2010-11-30,0.2082,59750.89,,,,,3.9682539682e-05,10100.0
137,2010-12-01,0.2275,55044.62,,,,,0.00012345679012300002,9400.0
138,2010-12-02,0.255,61254.39,,,,,0.00022058823529400002,9400.0
139,2010-12-03,0.25105,27582.73,,,,,5.1282051282e-05,9450.0
140,2010-12-04,0.20600000000000002,65206.76106783,,,,,5.771042328000001e-05,11450.0
141,2010-12-05,0.195,21426.76,,,,,0.000153846153846,11950.0
142,2010-12-06,0.20400000000000001,96030.00094584,,,,,0.000201728258928,12050.0
143,2010-12-07,0.2366,86851.21219765,,,,,0.000245947215568,11950.0
144,2010-12-08,0.2388,29647.27528566,,,,,0.00014035087719200002,11900.0
145,2010-12-09,0.192105,42492.55,,,,,0.00014172095057,11150.0
146,2010-12-10,0.20385,26642.24,,,,,0.000309734513274,7350.0
147,2010-12-11,0.228,79771.92977788,,,,,0.00031266127999999996,8750.0
148,2010-12-12,0.22,47790.92787191,,,,,0.000314775677966,8550.0
149,2010-12-13,0.22990000000000002,178698.24824802,,,,,0.0006167851089100001,7050.0
150,2010-12-14,0.24669000000000002,116316.29260157,,,,,0.00010150080912800001,8550.0
151,2010-12-15,0.24,112978.44742856,,,,,0.000151189506726,9800.0
152,2010-12-16,0.24996000000000002,84740.4,,,,,0.000289300167597,8650.0
153,2010-12-17,0.24,63088.66675504,,,,,0.000792003175675,8300.0
154,2010-12-18,0.241,83180.55020711,,,,,0.00019685100591700002,8050.0
155,2010-12-19,0.2401,98020.87129038,,,,,0.00031510950953600003,9200.0
156,2010-12-20,0.267,83129.68001065,,,,,8.666645536800001e-05,7950.0
157,2010-12-21,0.24,101604.71959024,,,,,0.000253456221198,9750.0
158,2010-12-22,0.25,82723.13208696,,,,,0.00035344725099600003,7900.0
159,2010-12-23,0.24875250000000002,62909.59,,,,,0.000160427807486,7250.0
160,2010-12-24,0.248,60406.22918737,,,,,0.00020442109660500003,7400.0
161,2010-12-25,0.2499,112597.04,,,,,0.000144700686695,8400.0
162,2010-12-26,0.265,70039.84016352,,,,,0.000217870592255,7250.0
163,2010-12-27,0.265,91519.0983169,,,,,0.00021290325,8300.0
164,2010-12-28,0.281,56620.69056498,,,,,0.00021014770325200003,8450.0
165,2010-12-29,0.2998,110848.44683591,,,,,0.00039007376436700004,8250.0
166,2010-12-30,0.30000000000000004,64600.52,,,,,0.000217890377358,8450.0
167,2010-12-31,0.30000000000000004,59416.45,,,,,5.9416310432000006e-05,8100.0
168,2011-01-01,0.30000000000000004,55246.04,,,,,0.00018651167364000003,9050.0
169,2011-01-02,0.29997,46563.89498822,,,,,0.00022253126903500002,8750.0
170,2011-01-03,0.295,67603.79633815,,,,,0.0007492325308640001,7800.0
171,2011-01-04,0.29895000000000005,40189.38554711,,,,,3.7339988066e-05,7050.0
172,2011-01-05,0.29892,49426.32646677,,,,,8.034268166000001e-05,7700.0
173,2011-01-06,0.298,31984.32918433,,,,,0.00015024594936700002,7050.0
174,2011-01-07,0.32,56548.18336902,,,,,6.2529345794e-05,8200.0
175,2011-01-08,0.3229,58976.97234567,,,,,1.3944968404000001e-05,8500.0
176,2011-01-09,0.322999999999999,38283.05469134,,,,,0.00013207547169800002,8150.0
177,2011-01-10,0.32659000000000005,82149.60971559,,,,,5.9864947826000006e-05,8100.0
178,2011-01-11,0.32659000000000005,104312.78614891,,,,,3.489510084e-05,8600.0
179,2011-01-12,0.31880000000000003,59178.45141248,,,,,0.000292064221105,8350.0
180,2011-01-13,0.3176,119971.10867027,,,,,2.3134387755000003e-05,9400.0
181,2011-01-14,0.4,85264.91159374,,,,,6.0072960222000006e-05,9050.0
182,2011-01-15,0.386,57051.29743052,,,,,0.00013035884472000002,7850.0
183,2011-01-16,0.38679,64830.03011814,,,,,0.00011397437252300001,8700.0
184,2011-01-17,0.34950000000000003,58357.17663104,,,,,0.00024356671802700002,9050.0
185,2011-01-18,0.31299000000000005,104882.69323904,,,,,5.5662496307000004e-05,7050.0
186,2011-01-19,0.31299000000000005,59805.21370812,,,,,6.684491978600001e-05,8450.0
187,2011-01-20,0.39,52152.72946975,,,,,0.00015903342818400002,9300.0
188,2011-01-21,0.419905,60976.73447858,,,,,5.0892903225e-05,8700.0
189,2011-01-22,0.44399000000000005,69676.15708752,,,,,0.00037329685759700005,8250.0
190,2011-01-23,0.4424,80119.06185463,,,,,0.000394137420417,8500.0
191,2011-01-24,0.4199,68782.53787557,,,,,0.000203359858532,9400.0
192,2011-01-25,0.41000000000000003,54614.34400623,,,,,0.00017606983628900002,7800.0
193,2011-01-26,0.41367000000000004,65679.65,,,,,0.000133333333333,9000.0
194,2011-01-27,0.4212,1035207.24905919,,,,,0.0008663729809100001,8000.0
195,2011-01-28,0.446,46040.2,,,,,6.5005417118e-05,7900.0
196,2011-01-29,0.439,67616.52,,,,,0.000372644249578,8050.0
197,2011-01-30,0.47985000000000005,390392.53759254,,,,,0.001158082052545,7800.0
198,2011-01-31,0.5501,189256.81982325,,,,,0.0006214227309890001,8500.0
199,2011-02-01,0.7077300000000001,121205.55079477,,,,,0.0009317878445220001,8200.0
200,2011-02-02,0.716,113821.26104348,,,,,6.7750677506e-05,7900.0
201,2011-02-03,0.6963900000000001,65733.90982325,,,,,0.000267392273449,8000.0
202,2011-02-04,0.810999999999999,53150.07108788,,,,,0.000162629631578,9700.0
203,2011-02-05,0.9073500000000001,69620.393797,,,,,0.00024236237366000003,8950.0
204,2011-02-06,0.8968,77822.38039876,,,,,0.00016547251366100002,8850.0
205,2011-02-07,0.89,154767.88080385,,,,,0.00045786943396200003,10150.0
206,2011-02-08,0.918,66678.80722994,,,,,0.000261607551622,8400.0
207,2011-02-09,1.084495,128187.0893116,,,,,6.330171980600001e-05,9600.0
208,2011-02-10,0.9751549999999991,217293.93942762,,,,,0.000472372337662,9300.0
209,2011-02-11,1.070004999999999,251910.27054812,,,,,0.00023010920700700002,9300.0
210,2011-02-12,1.0799,131709.66428978,,,,,0.00043232479020900006,9800.0
211,2011-02-13,1.05,104222.31817975,,,,,0.00014778325123100002,9900.0
212,2011-02-14,1.075336666666666,130173.60137725,,,,,0.0015138121546960002,9800.0
213,2011-02-15,1.05,91802.12049414,,,,,0.00012179186093,11250.0
214,2011-02-16,1.028624,61440.89014566,,,,,0.000317545748116,11600.0
215,2011-02-17,1.04,93634.73165151,,,,,6.1150039623e-05,11550.0
216,2011-02-18,0.8989,118433.49368959,,,,,0.00028741865509700003,10600.0
217,2011-02-19,0.94898,177445.45,,,,,0.000379746835443,8050.0
218,2011-02-20,0.85,215803.85,,,,,0.00011487650775400001,9900.0
219,2011-02-21,0.8345,229289.87,,,,,0.00023085585585500001,9700.0
220,2011-02-22,0.8702300000000001,347399.08,,,,,0.000123661571788,10550.0
221,2011-02-23,0.9,359549.64,,,,,0.000187056321782,12150.0
222,2011-02-24,0.9937149999999999,219159.37,,,,,8.816757097700001e-05,10350.0
223,2011-02-25,0.9111,175646.76818048,,,,,0.00022396268119800002,11250.0
224,2011-02-26,0.9580000000000001,164986.32000999,,,,,0.00033442467183700004,13800.0
225,2011-02-27,0.89,189733.44855151,,,,,0.0005333333333330001,12200.0
226,2011-02-28,0.8701000000000001,124882.99,,,,,0.000329843165605,7500.0
227,2011-03-01,0.92022,1033303.0202,,,,,0.00016242930742500002,6500.0
228,2011-03-02,0.9399000000000001,2435914.46808385,,,,,0.00021319934818,8400.0
229,2011-03-03,0.9390900000000001,228696.49168828,,,,,0.002341583830351,9300.0
230,2011-03-04,0.9012,302496.77576452,,,,,0.000409256104486,11050.0
231,2011-03-05,0.9103,128204.34382164,,,,,0.001356973472614,13850.0
232,2011-03-06,0.886629999999999,182994.07380034,,,,,0.0029604439385310004,13700.0
233,2011-03-07,0.88502,207192.90964754,,,,,0.0034851748571420003,10550.0
234,2011-03-08,0.869989999999999,186178.42944798,,,,,0.001744340887705,9350.0
235,2011-03-09,0.8644900000000001,244550.55503696,,,,,0.0019401391696530002,8000.0
236,2011-03-10,0.9329000000000001,338605.17804093,,,,,0.001436710148291,5500.0
237,2011-03-11,0.88,247646.22809133,,,,,0.0037526962086650005,6500.0
238,2011-03-12,0.918,156500.72971233,,,,,0.000549338132102,7000.0
239,2011-03-13,0.8924900000000001,205162.67115768,,,,,0.0006767127794910001,5850.0
240,2011-03-14,0.8949,207648.38789148,,,,,0.00070186615962,5600.0
241,2011-03-15,0.8711200000000001,121518.66643037,,,,,0.000667468997082,5600.0
242,2011-03-16,0.859989999999999,153747.91181285,,,,,0.000594026911716,6800.0
243,2011-03-17,0.82542,160523.06737881,,,,,0.00043068597024100005,7050.0
244,2011-03-18,0.8164800000000001,170712.69283443,,,,,0.0006003553931580001,6000.0
245,2011-03-19,0.765,119166.75,,,,,0.000396159059856,5750.0
246,2011-03-20,0.7410800000000001,138932.61252934,,,,,0.000631398502157,6850.0
247,2011-03-21,0.75897,151457.1292864,,,,,0.001518817758892,7400.0
248,2011-03-22,0.8090100000000001,204690.26911854,,,,,0.004969419537517001,5950.0
249,2011-03-23,0.8497100000000001,254537.71,,,,,0.004095527464309,7850.0
250,2011-03-24,0.8668799999999991,251783.89767498,,,,,0.004110453250497,7600.0
251,2011-03-25,0.8837700000000001,285191.8078667,,,,,0.0028382803943040004,8650.0
252,2011-03-26,0.8552000000000001,319228.58920936,,,,,0.0014169846731310002,6900.0
253,2011-03-27,0.827539999999999,145160.29202142,,,,,0.0027242382327580003,7150.0
254,2011-03-28,0.79898,135499.79246612,,,,,0.001596091205211,8400.0
255,2011-03-29,0.7925000000000001,110097.45112949,,,,,0.0013385910019560001,8150.0
256,2011-03-30,0.7897000000000001,122176.39452227,,,,,0.0025818125,7800.0
257,2011-03-31,0.78461,137203.30298476,,,,,0.002069693769799,10050.0
258,2011-04-01,0.7741100000000001,78557.10827105,,,,,0.0024233784746970004,8800.0
259,2011-04-02,0.7819900000000001,95012.73432044,,,,,0.0017213567964820002,9000.0
260,2011-04-03,0.779,81403.66902044,,,,,0.00260681797546,8750.0
