Date,Open,High,Low,Close,Adj Close,Volume
2022-05-02,5.690000,5.870000,5.610000,5.860000,5.860000,6701100
2022-05-03,5.860000,5.980000,5.800000,5.880000,5.880000,5503200
2022-05-04,5.890000,6.130000,5.720000,6.120000,6.120000,5707100
2022-05-05,6.020000,6.040000,5.770000,5.820000,5.820000,6448200
2022-05-06,5.740000,5.850000,5.550000,5.610000,5.610000,7545400
2022-05-09,5.510000,5.570000,5.110000,5.140000,5.140000,9641400
2022-05-10,5.220000,5.310000,4.990000,5.190000,5.190000,11288900
2022-05-11,5.160000,5.290000,4.890000,4.890000,4.890000,8047700
2022-05-12,4.750000,5.280000,4.700000,5.130000,5.130000,15275900
2022-05-13,5.270000,5.870000,5.240000,5.830000,5.830000,18835300
2022-05-16,5.770000,5.930000,5.680000,5.690000,5.690000,8060700
2022-05-17,5.780000,6.030000,5.770000,6.010000,6.010000,8153100
2022-05-18,5.930000,6.250000,5.830000,5.880000,5.880000,11193800
2022-05-19,5.780000,6.150000,5.750000,6.010000,6.010000,20904300
2022-05-20,6.100000,6.210000,5.740000,5.890000,5.890000,12836900
2022-05-23,5.910000,5.970000,5.730000,5.950000,5.950000,6860600
2022-05-24,5.870000,5.870000,5.620000,5.740000,5.740000,7297300
2022-05-25,5.680000,5.970000,5.680000,5.910000,5.910000,11079800
2022-05-26,5.850000,6.120000,5.840000,6.070000,6.070000,9886700
2022-05-27,6.130000,6.770000,6.050000,6.570000,6.570000,22551400
2022-05-31,6.500000,6.510000,5.960000,6.050000,6.050000,13174300
2022-06-01,6.040000,6.160000,5.640000,5.730000,5.730000,11298700
2022-06-02,5.690000,6.210000,5.680000,6.160000,6.160000,14918100
2022-06-03,6.050000,6.110000,5.810000,5.830000,5.830000,9865800
2022-06-06,5.910000,6.000000,5.800000,5.900000,5.900000,10476400
2022-06-07,5.840000,6.130000,5.790000,6.120000,6.120000,11532700
2022-06-08,6.090000,6.190000,6.010000,6.130000,6.130000,10667300
2022-06-09,6.110000,6.110000,5.790000,5.790000,5.790000,8516800
2022-06-10,5.610000,5.740000,5.490000,5.540000,5.540000,9195100
2022-06-13,5.300000,5.360000,5.120000,5.130000,5.130000,7684900
2022-06-14,5.150000,5.270000,5.050000,5.140000,5.140000,8841400
2022-06-15,5.220000,5.510000,5.190000,5.430000,5.430000,7643100
2022-06-16,5.230000,5.270000,5.000000,5.070000,5.070000,8237000
2022-06-17,5.090000,5.300000,5.010000,5.190000,5.190000,9362600
2022-06-21,5.400000,5.450000,5.260000,5.270000,5.270000,8792700
2022-06-22,5.160000,5.440000,5.130000,5.320000,5.320000,6103800
2022-06-23,5.330000,5.400000,5.160000,5.370000,5.370000,10104700
2022-06-24,5.270000,5.760000,5.260000,5.750000,5.750000,14534900
2022-06-27,5.760000,5.870000,5.640000,5.800000,5.800000,10081600
2022-06-28,5.860000,6.000000,5.740000,5.740000,5.740000,9816100
2022-06-29,5.750000,5.750000,5.470000,5.540000,5.540000,9675000
2022-06-30,5.420000,5.470000,5.260000,5.390000,5.390000,10152200
2022-07-01,5.400000,5.480000,5.260000,5.450000,5.450000,6689300
2022-07-05,5.360000,5.640000,5.260000,5.640000,5.640000,8980300
